Subject,Gender,Condition,AlphaPower,BetaPower,BetaAlphaRatio,AlphaLateralization,AttentionEngagement,NormAlphaLateralization,NormAttentionEngagement
WWZ,F,长,3.8097873893884144,0.6054406360983494,0.15891717154209511,1.974445732286537,6.292586196294796,42.97467893254814,0.30319463074453357
WYX,F,长,11.214485877308118,0.9518492749934393,0.08487676433918856,3.2597112495646474,11.781787486664225,-1.1885796260376758,0.2873148839945036
WYX,F,短,8.241284951054924,1.082650887662539,0.1313691850351509,-1.599740066016853,7.612135218258578,0.5833088589296807,0.18563225229278568
WYX,F,漫,6.297717933426865,0.6908875073447155,0.10970442224438802,-0.8285477233496232,9.115402820975666,0.3021110975104889,0.22229147377138006
WZM,M,短,6.892037624364548,0.8206667648942418,0.11907462054371883,-0.7378759815438176,8.398095206466312,60.85130053749998,0.6993559800247591
WZM,M,漫,6.559027071576847,0.8655057866950628,0.1319564284839867,-0.22741708711918918,7.578259062394623,18.754676750283693,0.6310836759009019
WZM,M,长,2.8649418317457367,0.46056625242722554,0.16075937295612805,-0.17390829207054104,6.220477111918721,14.341902991077896,0.5180136399832503
XBM,F,漫,5.141736895181484,0.6517484057097642,0.1267564675120857,-0.23455158310311042,7.889143801712952,0.33609964073210347,0.3328868684959773
XBM,F,短,4.863191697201353,0.5304849168014049,0.10908163811570205,0.04855010638220403,9.167445752320916,-0.069569657542626,0.3868255396655648
XBM,F,长,6.582114357769752,0.6877140236477894,0.1044822356870765,0.5242921536399328,9.571004998351992,-0.7512820938819977,0.4038539494702782
YXT,F,短,3.9667356187655898,0.5239556681095313,0.13208736817014827,-0.18299382859925117,7.570746649383238,0.29115648533802296,0.294630272418167
YXT,F,长,7.948814280222074,0.5454945539363872,0.0686259025190292,-0.979219202778185,14.57175735827607,1.5580089429177821,0.5670881669815311
YXT,F,漫,6.931051061774298,0.7642035678430398,0.11025796246946265,1.0328246587579022,9.069639757554587,-1.643299120611023,0.35296260147876435
